"grammar_pattern","japanese_sentence","hiragana_reading","korean_translation","question_type","difficulty","file_source"
"てしまう","愛を失ってしまいました。","あいをうしなってしまいました。","사랑을 잃어버렸습니다.","sentence_completion","1","01_てしまう.md"
"てしまう","愛を失ってしまいました。","あいをうしなってしまいました。","사랑을 잃어버렸습니다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","相手の気持ちを忘れてしまった。","あいてのきもちをわすれてしまった。","상대방의 마음을 잊어버렸다.","sentence_completion","1","01_てしまう.md"
"てしまう","相手の気持ちを忘れてしまった。","あいてのきもちをわすれてしまった。","상대방의 마음을 잊어버렸다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","間違いに気づいてしまいました。","まちがいにきづいてしまいました。","실수를 알아차려버렸습니다.","sentence_completion","1","01_てしまう.md"
"てしまう","間違いに気づいてしまいました。","まちがいにきづいてしまいました。","실수를 알아차려버렸습니다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","挨拶を忘れてしまった。","あいさつをわすれてしまった。","인사를 잊어버렸다.","sentence_completion","1","01_てしまう.md"
"てしまう","挨拶を忘れてしまった。","あいさつをわすれてしまった。","인사를 잊어버렸다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","青いシャツを汚してしまいました。","あおいシャツをよごしてしまいました。","파란 셔츠를 더럽혀버렸습니다.","sentence_completion","1","01_てしまう.md"
"てしまう","青いシャツを汚してしまいました。","あおいシャツをよごしてしまいました。","파란 셔츠를 더럽혀버렸습니다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","赤い花が枯れてしまった。","あかいはながかれてしまった。","빨간 꽃이 시들어버렸다.","sentence_completion","1","01_てしまう.md"
"てしまう","赤い花が枯れてしまった。","あかいはながかれてしまった。","빨간 꽃이 시들어버렸다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","赤ちゃんが泣いてしまいました。","あかちゃんがないてしまいました。","아기가 울어버렸습니다.","sentence_completion","1","01_てしまう.md"
"てしまう","赤ちゃんが泣いてしまいました。","あかちゃんがないてしまいました。","아기가 울어버렸습니다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","明るい部屋が暗くなってしまった。","あかるいへやがくらくなってしまった。","밝은 방이 어두워져버렸다.","sentence_completion","1","01_てしまう.md"
"てしまう","明るい部屋が暗くなってしまった。","あかるいへやがくらくなってしまった。","밝은 방이 어두워져버렸다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","秋の葉っぱが落ちてしまいました。","あきのはっぱがおちてしまいました。","가을 잎사귀가 떨어져버렸습니다.","sentence_completion","1","01_てしまう.md"
"てしまう","秋の葉っぱが落ちてしまいました。","あきのはっぱがおちてしまいました。","가을 잎사귀가 떨어져버렸습니다.","meaning_comprehension","1","01_てしまう.md"
"てしまう","憧れの人に会えてしまった。","あこがれのひとにあえてしまった。","동경하던 사람을 만나버렸다.","sentence_completion","1","01_てしまう.md"
"てしまう","憧れの人に会えてしまった。","あこがれのひとにあえてしまった。","동경하던 사람을 만나버렸다.","meaning_comprehension","1","01_てしまう.md"
"ておく","上げ物を準備しておきます。","あげものをじゅんびしておきます。","튀김을 미리 준비해 둡니다.","sentence_completion","1","02_ておく.md"
"ておく","上げ物を準備しておきます。","あげものをじゅんびしておきます。","튀김을 미리 준비해 둡니다.","meaning_comprehension","1","02_ておく.md"
"ておく","朝ご飯を作っておきました。","あさごはんをつくっておきました。","아침밥을 미리 만들어 뒀습니다.","sentence_completion","1","02_ておく.md"
"ておく","朝ご飯を作っておきました。","あさごはんをつくっておきました。","아침밥을 미리 만들어 뒀습니다.","meaning_comprehension","1","02_ておく.md"
"ておく","浅い皿を用意しておく。","あさいさらをよういしておく。","얕은 접시를 미리 준비해 둔다.","sentence_completion","1","02_ておく.md"
"ておく","浅い皿を用意しておく。","あさいさらをよういしておく。","얕은 접시를 미리 준비해 둔다.","meaning_comprehension","1","02_ておく.md"
"ておく","汗を拭いておきます。","あせをふいておきます。","땀을 미리 닦아 둡니다.","sentence_completion","1","02_ておく.md"
"ておく","汗を拭いておきます。","あせをふいておきます。","땀을 미리 닦아 둡니다.","meaning_comprehension","1","02_ておく.md"
"ておく","足の準備をしておいた。","あしのじゅんびをしておいた。","발 준비를 미리 해 뒀다.","sentence_completion","1","02_ておく.md"
"ておく","足の準備をしておいた。","あしのじゅんびをしておいた。","발 준비를 미리 해 뒀다.","meaning_comprehension","1","02_ておく.md"
"ておく","明日の計画を立てておこう。","あしたのけいかくをたてておこう。","내일 계획을 미리 세워 두자.","sentence_completion","1","02_ておく.md"
"ておく","明日の計画を立てておこう。","あしたのけいかくをたてておこう。","내일 계획을 미리 세워 두자.","meaning_comprehension","1","02_ておく.md"
"ておく","遊び道具を買っておきます。","あそびどうぐをかっておきます。","놀이 도구를 미리 사 둡니다.","sentence_completion","1","02_ておく.md"
"ておく","遊び道具を買っておきます。","あそびどうぐをかっておきます。","놀이 도구를 미리 사 둡니다.","meaning_comprehension","1","02_ておく.md"
"ておく","暖かい服を出しておいた。","あたたかいふくをだしておいた。","따뜻한 옷을 미리 꺼내 뒀다.","sentence_completion","1","02_ておく.md"
"ておく","暖かい服を出しておいた。","あたたかいふくをだしておいた。","따뜻한 옷을 미리 꺼내 뒀다.","meaning_comprehension","1","02_ておく.md"
"ておく","価値のある物を保管しておく。","あたいのあるものをほかんしておく。","가치 있는 물건을 미리 보관해 둔다.","sentence_completion","1","02_ておく.md"
"ておく","価値のある物を保管しておく。","あたいのあるものをほかんしておく。","가치 있는 물건을 미리 보관해 둔다.","meaning_comprehension","1","02_ておく.md"
"ておく","頭の中で考えておきました。","あたまのなかでかんがえておきました。","머리 속으로 미리 생각해 뒀습니다.","sentence_completion","1","02_ておく.md"
"ておく","頭の中で考えておきました。","あたまのなかでかんがえておきました。","머리 속으로 미리 생각해 뒀습니다.","meaning_comprehension","1","02_ておく.md"
"てみる","新しい料理を作ってみます。","あたらしいりょうりをつくってみます。","새로운 요리를 만들어 봅니다.","sentence_completion","1","03_てみる.md"
"てみる","新しい料理を作ってみます。","あたらしいりょうりをつくってみます。","새로운 요리를 만들어 봅니다.","meaning_comprehension","1","03_てみる.md"
"てみる","与える方法を試してみた。","あたえるほうほうをためしてみた。","주는 방법을 시도해 봤다.","sentence_completion","1","03_てみる.md"
"てみる","与える方法を試してみた。","あたえるほうほうをためしてみた。","주는 방법을 시도해 봤다.","meaning_comprehension","1","03_てみる.md"
"てみる","暖める機械を使ってみよう。","あためるきかいをつかってみよう。","따뜻하게 하는 기계를 사용해 보자.","sentence_completion","1","03_てみる.md"
"てみる","暖める機械を使ってみよう。","あためるきかいをつかってみよう。","따뜻하게 하는 기계를 사용해 보자.","meaning_comprehension","1","03_てみる.md"
"てみる","後で連絡してみます。","あとでれんらくしてみます。","나중에 연락해 봅니다.","sentence_completion","1","03_てみる.md"
"てみる","後で連絡してみます。","あとでれんらくしてみます。","나중에 연락해 봅니다.","meaning_comprehension","1","03_てみる.md"
"てみる","兄に相談してみた。","あににそうだんしてみた。","형에게 상담해 봤다.","sentence_completion","1","03_てみる.md"
"てみる","兄に相談してみた。","あににそうだんしてみた。","형에게 상담해 봤다.","meaning_comprehension","1","03_てみる.md"
"てみる","姉と話してみよう。","あねとはなしてみよう。","언니와 이야기해 보자.","sentence_completion","1","03_てみる.md"
"てみる","姉と話してみよう。","あねとはなしてみよう。","언니와 이야기해 보자.","meaning_comprehension","1","03_てみる.md"
"てみる","あの店に行ってみます。","あのみせにいってみます。","저 가게에 가 봅니다.","sentence_completion","1","03_てみる.md"
"てみる","あの店に行ってみます。","あのみせにいってみます。","저 가게에 가 봅니다.","meaning_comprehension","1","03_てみる.md"
"てみる","雨の中を歩いてみた。","あめのなかをあるいてみた。","비 속을 걸어 봤다.","sentence_completion","1","03_てみる.md"
"てみる","雨の中を歩いてみた。","あめのなかをあるいてみた。","비 속을 걸어 봤다.","meaning_comprehension","1","03_てみる.md"
"てみる","甘いお菓子を食べてみよう。","あまいおかしをたべてみよう。","단 과자를 먹어 보자.","sentence_completion","1","03_てみる.md"
"てみる","甘いお菓子を食べてみよう。","あまいおかしをたべてみよう。","단 과자를 먹어 보자.","meaning_comprehension","1","03_てみる.md"
"てみる","余り時間がないけど、やってみます。","あまりじかんがないけど、やってみます。","별로 시간이 없지만, 해 봅니다.","sentence_completion","1","03_てみる.md"
"てみる","余り時間がないけど、やってみます。","あまりじかんがないけど、やってみます。","별로 시간이 없지만, 해 봅니다.","meaning_comprehension","1","03_てみる.md"
"たら","アパートを買ったら、引っ越します。","アパートをかったら、ひっこします。","아파트를 샀으면, 이사합니다.","sentence_completion","1","04_たら.md"
"たら","アパートを買ったら、引っ越します。","アパートをかったら、ひっこします。","아파트를 샀으면, 이사합니다.","meaning_comprehension","1","04_たら.md"
"たら","危ない道だったら、通りません。","あぶないみちだったら、とおりません。","위험한 길이라면, 지나가지 않습니다.","sentence_completion","1","04_たら.md"
"たら","危ない道だったら、通りません。","あぶないみちだったら、とおりません。","위험한 길이라면, 지나가지 않습니다.","meaning_comprehension","1","04_たら.md"
"たら","油を使ったら、後で掃除してください。","あぶらをつかったら、あとでそうじしてください。","기름을 사용했으면, 나중에 청소해 주세요.","sentence_completion","1","04_たら.md"
"たら","油を使ったら、後で掃除してください。","あぶらをつかったら、あとでそうじしてください。","기름을 사용했으면, 나중에 청소해 주세요.","meaning_comprehension","1","04_たら.md"
"たら","服を洗ったら、干しましょう。","ふくをあらったら、ほしましょう。","옷을 빨았으면, 말립시다.","sentence_completion","1","04_たら.md"
"たら","服を洗ったら、干しましょう。","ふくをあらったら、ほしましょう。","옷을 빨았으면, 말립시다.","meaning_comprehension","1","04_たら.md"
"たら","問題が現れたら、すぐに連絡します。","もんだいがあらわれたら、すぐにれんらくします。","문제가 나타났으면, 즉시 연락합니다.","sentence_completion","1","04_たら.md"
"たら","問題が現れたら、すぐに連絡します。","もんだいがあらわれたら、すぐにれんらくします。","문제가 나타났으면, 즉시 연락합니다.","meaning_comprehension","1","04_たら.md"
"たら","図書館に本があったら、借ります。","としょかんにほんがあったら、かります。","도서관에 책이 있다면, 빌립니다.","sentence_completion","1","04_たら.md"
"たら","図書館に本があったら、借ります。","としょかんにほんがあったら、かります。","도서관에 책이 있다면, 빌립니다.","meaning_comprehension","1","04_たら.md"
"たら","公園まで歩いたら、疲れました。","こうえんまであるいたら、つかれました。","공원까지 걸었더니, 피곤했습니다.","sentence_completion","1","04_たら.md"
"たら","公園まで歩いたら、疲れました。","こうえんまであるいたら、つかれました。","공원까지 걸었더니, 피곤했습니다.","meaning_comprehension","1","04_たら.md"
"たら","アルバイトをしたら、お金が貯まります。","アルバイトをしたら、おかねがたまります。","아르바이트를 하면, 돈이 모입니다.","sentence_completion","1","04_たら.md"
"たら","アルバイトをしたら、お金が貯まります。","アルバイトをしたら、おかねがたまります。","아르바이트를 하면, 돈이 모입니다.","meaning_comprehension","1","04_たら.md"
"たら","いい天気だったら、散歩しましょう。","いいてんきだったら、さんぽしましょう。","좋은 날씨라면, 산책합시다.","sentence_completion","1","04_たら.md"
"たら","いい天気だったら、散歩しましょう。","いいてんきだったら、さんぽしましょう。","좋은 날씨라면, 산책합시다.","meaning_comprehension","1","04_たら.md"
"たら","映画が面白かったら、友達に教えます。","えいががおもしろかったら、ともだちにおしえます。","영화가 재미있었으면, 친구에게 알려줍니다.","sentence_completion","1","04_たら.md"
"たら","映画が面白かったら、友達に教えます。","えいががおもしろかったら、ともだちにおしえます。","영화가 재미있었으면, 친구에게 알려줍니다.","meaning_comprehension","1","04_たら.md"
"ので","忙しいので、手伝えません。","いそがしいので、てつだえません。","바빠서, 도와줄 수 없습니다.","sentence_completion","1","05_ので.md"
