"kanji","hiragana","pos","korean_meaning","question_type","difficulty"
"愛","あい","n","사랑","reading","1"
"愛","あい","n","사랑","meaning_to_japanese","1"
"愛","あい","n","사랑","japanese_to_meaning","1"
"相手","あいて","n","상대방, 상대","reading","2"
"相手","あいて","n","상대방, 상대","meaning_to_japanese","2"
"相手","あいて","n","상대방, 상대","japanese_to_meaning","2"
"間","あいだ","n","사이, 간격, 동안","reading","2"
"間","あいだ","n","사이, 간격, 동안","meaning_to_japanese","2"
"間","あいだ","n","사이, 간격, 동안","japanese_to_meaning","2"
"挨拶","あいさつ","n/v","인사","reading","2"
"挨拶","あいさつ","n/v","인사","meaning_to_japanese","2"
"挨拶","あいさつ","n/v","인사","japanese_to_meaning","2"
"青","あお","n/adj","파랑, 파란색","reading","1"
"青","あお","n/adj","파랑, 파란색","meaning_to_japanese","1"
"青","あお","n/adj","파랑, 파란색","japanese_to_meaning","1"
"青い","あおい","i-adj","파랗다","reading","2"
"青い","あおい","i-adj","파랗다","meaning_to_japanese","2"
"青い","あおい","i-adj","파랗다","japanese_to_meaning","2"
"赤","あか","n","빨강, 빨간색","reading","1"
"赤","あか","n","빨강, 빨간색","meaning_to_japanese","1"
"赤","あか","n","빨강, 빨간색","japanese_to_meaning","1"
"赤い","あかい","i-adj","빨갛다","reading","2"
"赤い","あかい","i-adj","빨갛다","meaning_to_japanese","2"
"赤い","あかい","i-adj","빨갛다","japanese_to_meaning","2"
"赤ちゃん","あかちゃん","n","아기","reading","2"
"赤ちゃん","あかちゃん","n","아기","meaning_to_japanese","2"
"赤ちゃん","あかちゃん","n","아기","japanese_to_meaning","2"
"明るい","あかるい","i-adj","밝다, 명랑하다","reading","2"
"明るい","あかるい","i-adj","밝다, 명랑하다","meaning_to_japanese","2"
"明るい","あかるい","i-adj","밝다, 명랑하다","japanese_to_meaning","2"
"秋","あき","n","가을","reading","1"
"秋","あき","n","가을","meaning_to_japanese","1"
"秋","あき","n","가을","japanese_to_meaning","1"
"開く","あく","v","열리다, 비다","reading","2"
"開く","あく","v","열리다, 비다","meaning_to_japanese","2"
"開く","あく","v","열리다, 비다","japanese_to_meaning","2"
"憧れ","あこがれ","n/v","동경, 동경하다","reading","2"
"憧れ","あこがれ","n/v","동경, 동경하다","meaning_to_japanese","2"
"憧れ","あこがれ","n/v","동경, 동경하다","japanese_to_meaning","2"
"開ける","あける","v","열다","reading","2"
"開ける","あける","v","열다","meaning_to_japanese","2"
"開ける","あける","v","열다","japanese_to_meaning","2"
"上げる","あげる","v","올리다, 주다","reading","3"
"上げる","あげる","v","올리다, 주다","meaning_to_japanese","3"
"上げる","あげる","v","올리다, 주다","japanese_to_meaning","3"
"朝","あさ","n","아침","reading","1"
"朝","あさ","n","아침","meaning_to_japanese","1"
"朝","あさ","n","아침","japanese_to_meaning","1"
"朝ご飯","あさごはん","n","아침밥","reading","2"
"朝ご飯","あさごはん","n","아침밥","meaning_to_japanese","2"
"朝ご飯","あさごはん","n","아침밥","japanese_to_meaning","2"
"浅い","あさい","i-adj","얕다","reading","2"
"浅い","あさい","i-adj","얕다","meaning_to_japanese","2"
"浅い","あさい","i-adj","얕다","japanese_to_meaning","2"
"汗","あせ","n","땀","reading","1"
"汗","あせ","n","땀","meaning_to_japanese","1"
"汗","あせ","n","땀","japanese_to_meaning","1"
"足","あし","n","발, 다리","reading","1"
"足","あし","n","발, 다리","meaning_to_japanese","1"
"足","あし","n","발, 다리","japanese_to_meaning","1"
"明日","あした","n","내일","reading","2"
"明日","あした","n","내일","meaning_to_japanese","2"
"明日","あした","n","내일","japanese_to_meaning","2"
"遊ぶ","あそぶ","v","놀다","reading","2"
"遊ぶ","あそぶ","v","놀다","meaning_to_japanese","2"
"遊ぶ","あそぶ","v","놀다","japanese_to_meaning","2"
"暖かい","あたたかい","i-adj","따뜻하다","reading","2"
"暖かい","あたたかい","i-adj","따뜻하다","meaning_to_japanese","2"
"暖かい","あたたかい","i-adj","따뜻하다","japanese_to_meaning","2"
"価値","あたい","n","가치","reading","2"
"価値","あたい","n","가치","meaning_to_japanese","2"
"価値","あたい","n","가치","japanese_to_meaning","2"
"頭","あたま","n","머리","reading","1"
"頭","あたま","n","머리","meaning_to_japanese","1"
"頭","あたま","n","머리","japanese_to_meaning","1"
"新しい","あたらしい","i-adj","새롭다","reading","1"
"新しい","あたらしい","i-adj","새롭다","meaning_to_japanese","1"
"新しい","あたらしい","i-adj","새롭다","japanese_to_meaning","1"
"与える","あたえる","v","주다","reading","2"
"与える","あたえる","v","주다","meaning_to_japanese","2"
"与える","あたえる","v","주다","japanese_to_meaning","2"
"暖める","あためる","v","따뜻하게 하다","reading","2"
"暖める","あためる","v","따뜻하게 하다","meaning_to_japanese","2"
"暖める","あためる","v","따뜻하게 하다","japanese_to_meaning","2"
"後","あと","n","뒤, 나중","reading","2"
"後","あと","n","뒤, 나중","meaning_to_japanese","2"
"後","あと","n","뒤, 나중","japanese_to_meaning","2"
"兄","あに","n","형, 오빠","reading","2"
"兄","あに","n","형, 오빠","meaning_to_japanese","2"
"兄","あに","n","형, 오빠","japanese_to_meaning","2"
